Date,Open,High,Low,Close,Adj Close,Volume
2023-10-01,39.209999,39.770000,37.459999,37.939999,36.963745,241697300
2023-11-01,37.889999,40.869999,37.840000,40.630001,39.584526,185238200
2023-12-01,40.430000,41.369999,39.610001,41.099998,40.042435,223303800
2024-01-01,40.730000,40.830002,38.830002,39.639999,39.450901,222894900
2024-02-01,39.779999,41.639999,39.430000,41.020000,40.824322,221579500
2024-03-01,41.349998,42.240002,41.060001,41.770000,41.570740,169707200
2024-04-01,42.020000,42.820000,40.720001,42.169998,42.008060,243928100
2024-05-01,42.189999,44.970001,42.160000,43.080002,42.914570,174803700
2024-06-01,43.619999,44.459999,42.610001,43.759998,43.591957,155276200
2024-07-01,44.029999,45.730000,43.099998,44.290001,44.290001,176991000
2024-08-01,44.070000,45.259998,40.910000,44.720001,44.720001,213188100
2024-09-01,44.599998,44.599998,43.919998,44.139999,44.139999,29123300
2024-09-05,44.119999,44.305000,44.044998,44.139999,44.139999,8108352
