Date,Open,High,Low,Close,Adj Close,Volume
2023-10-01,426.619995,438.140015,409.209991,418.200012,413.885956,1999149700
2023-11-01,419.200012,458.320007,418.649994,456.399994,451.691895,1499960600
2023-12-01,455.769989,477.549988,454.309998,475.309998,470.406799,1643108100
2024-01-01,472.160004,491.619995,466.429993,482.880005,479.836304,1700630800
2024-02-01,484.630005,510.130005,483.799988,508.079987,504.877472,1393465400
2024-03-01,508.980011,524.609985,504.910004,523.070007,519.773010,1473246900
2024-04-01,523.830017,524.380005,493.859985,501.980011,500.365784,1592974000
2024-05-01,501.380005,533.070007,499.549988,527.369995,525.674133,1153264400
2024-06-01,529.020020,550.280029,522.599976,544.219971,542.469910,888923200
2024-07-01,545.630005,565.159973,537.450012,550.809998,550.809998,1038465500
2024-08-01,552.570007,564.200012,510.269989,563.679993,563.679993,1244599000
2024-09-01,558.349976,560.809998,547.099976,549.609985,549.609985,152025200
2024-09-05,550.890015,553.799500,547.099976,549.609985,549.609985,44115385
